url_path,reason,created_at
data/spot/monthly/klines/BTCUPUSDT/1d/BTCUPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.140376
data/spot/monthly/klines/BTCSTUSDT/1d/BTCSTUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.191291
data/spot/monthly/klines/BTGUSDT/1d/BTGUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.262857
data/spot/monthly/klines/BTSUSDT/1d/BTSUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.381943
data/spot/monthly/klines/BTTUSDT/1d/BTTUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.392205
data/spot/monthly/klines/BULLUSDT/1d/BULLUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.480464
data/spot/monthly/klines/BUSDUSDT/1d/BUSDUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.612794
data/spot/monthly/klines/BZRXUSDT/1d/BZRXUSDT-1d-2025-01.zip,404,2026-01-29T11:09:45.779174
data/spot/monthly/klines/COCOSUSDT/1d/COCOSUSDT-1d-2025-01.zip,404,2026-01-29T11:09:47.152884
data/spot/monthly/klines/CUSDT/1d/CUSDT-1d-2025-01.zip,404,2026-01-29T11:09:48.321608
data/spot/monthly/klines/CVPUSDT/1d/CVPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:48.517787
data/spot/monthly/klines/DAIUSDT/1d/DAIUSDT-1d-2025-01.zip,404,2026-01-29T11:09:48.741538
data/spot/monthly/klines/DNTUSDT/1d/DNTUSDT-1d-2025-01.zip,404,2026-01-29T11:09:49.755729
data/spot/monthly/klines/DOCKUSDT/1d/DOCKUSDT-1d-2025-01.zip,404,2026-01-29T11:09:49.777723
data/spot/monthly/klines/DOLOUSDT/1d/DOLOUSDT-1d-2025-01.zip,404,2026-01-29T11:09:50.047444
data/spot/monthly/klines/DOTDOWNUSDT/1d/DOTDOWNUSDT-1d-2025-01.zip,404,2026-01-29T11:09:50.082490
data/spot/monthly/klines/DOTUPUSDT/1d/DOTUPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:50.251529
data/spot/monthly/klines/DREPUSDT/1d/DREPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:50.396097
data/spot/monthly/klines/EDENUSDT/1d/EDENUSDT-1d-2025-01.zip,404,2026-01-29T11:09:50.811742
data/spot/monthly/klines/EOSBEARUSDT/1d/EOSBEARUSDT-1d-2025-01.zip,404,2026-01-29T11:09:51.518696
data/spot/monthly/klines/ENSOUSDT/1d/ENSOUSDT-1d-2025-01.zip,404,2026-01-29T11:09:51.557224
data/spot/monthly/klines/EOSUPUSDT/1d/EOSUPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:51.745840
data/spot/monthly/klines/EOSBULLUSDT/1d/EOSBULLUSDT-1d-2025-01.zip,404,2026-01-29T11:09:51.757321
data/spot/monthly/klines/EOSDOWNUSDT/1d/EOSDOWNUSDT-1d-2025-01.zip,404,2026-01-29T11:09:51.819134
data/spot/monthly/klines/EPICUSDT/1d/EPICUSDT-1d-2025-01.zip,404,2026-01-29T11:09:51.947787
data/spot/monthly/klines/ERAUSDT/1d/ERAUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.048587
data/spot/monthly/klines/EPSUSDT/1d/EPSUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.065944
data/spot/monthly/klines/EPXUSDT/1d/EPXUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.108441
data/spot/monthly/klines/ERDUSDT/1d/ERDUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.140893
data/spot/monthly/klines/ETHBULLUSDT/1d/ETHBULLUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.318039
data/spot/monthly/klines/ETHDOWNUSDT/1d/ETHDOWNUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.335234
data/spot/monthly/klines/ETHBEARUSDT/1d/ETHBEARUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.361405
data/spot/monthly/klines/ETHUPUSDT/1d/ETHUPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.533847
data/spot/monthly/klines/EULUSDT/1d/EULUSDT-1d-2025-01.zip,404,2026-01-29T11:09:52.818436
data/spot/monthly/klines/FFUSDT/1d/FFUSDT-1d-2025-01.zip,404,2026-01-29T11:09:53.134567
data/spot/monthly/klines/FILDOWNUSDT/1d/FILDOWNUSDT-1d-2025-01.zip,404,2026-01-29T11:09:53.358993
data/spot/monthly/klines/FILUPUSDT/1d/FILUPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:53.431848
data/spot/monthly/klines/FOGOUSDT/1d/FOGOUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.047115
data/spot/monthly/klines/FORMUSDT/1d/FORMUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.190759
data/spot/monthly/klines/FORUSDT/1d/FORUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.390784
data/spot/monthly/klines/FRAXUSDT/1d/FRAXUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.454849
data/spot/monthly/klines/FRONTUSDT/1d/FRONTUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.493588
data/spot/monthly/klines/FUSDT/1d/FUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.684435
data/spot/monthly/klines/GALUSDT/1d/GALUSDT-1d-2025-01.zip,404,2026-01-29T11:09:54.998240
data/spot/monthly/klines/GFTUSDT/1d/GFTUSDT-1d-2025-01.zip,404,2026-01-29T11:09:55.210963
data/spot/monthly/klines/GBPUSDT/1d/GBPUSDT-1d-2025-01.zip,404,2026-01-29T11:09:55.227726
data/spot/monthly/klines/GIGGLEUSDT/1d/GIGGLEUSDT-1d-2025-01.zip,404,2026-01-29T11:10:00.251159
data/spot/monthly/klines/GTOUSDT/1d/GTOUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.220648
data/spot/monthly/klines/GPSUSDT/1d/GPSUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.225552
data/spot/monthly/klines/GUNUSDT/1d/GUNUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.314151
data/spot/monthly/klines/GXSUSDT/1d/GXSUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.524748
data/spot/monthly/klines/HAEDALUSDT/1d/HAEDALUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.584967
data/spot/monthly/klines/HCUSDT/1d/HCUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.732552
data/spot/monthly/klines/HEIUSDT/1d/HEIUSDT-1d-2025-01.zip,404,2026-01-29T11:10:01.792182
data/spot/monthly/klines/HEMIUSDT/1d/HEMIUSDT-1d-2025-01.zip,404,2026-01-29T11:10:02.061142
data/spot/monthly/klines/HOLOUSDT/1d/HOLOUSDT-1d-2025-01.zip,404,2026-01-29T11:10:02.523510
data/spot/monthly/klines/HOMEUSDT/1d/HOMEUSDT-1d-2025-01.zip,404,2026-01-29T11:10:02.778592
data/spot/monthly/klines/HUMAUSDT/1d/HUMAUSDT-1d-2025-01.zip,404,2026-01-29T11:10:02.994110
data/spot/monthly/klines/HYPERUSDT/1d/HYPERUSDT-1d-2025-01.zip,404,2026-01-29T11:10:03.317907
data/spot/monthly/klines/HNTUSDT/1d/HNTUSDT-1d-2025-01.zip,404,2026-01-29T11:10:03.433709
data/spot/monthly/klines/INITUSDT/1d/INITUSDT-1d-2025-01.zip,404,2026-01-29T11:10:04.398810
data/spot/monthly/klines/IRISUSDT/1d/IRISUSDT-1d-2025-01.zip,404,2026-01-29T11:10:05.118789
