symbol,start,end,download_start_date_str,download_end_date_str,download_start_month_str,download_end_month_str
WANUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
FUNUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
CVCUSDT,2019-08-27,2026-01-20,2019-08-27,2026-01-19,2019-08,2025-12
CHZUSDT,2019-09-06,2026-01-20,2019-09-06,2026-01-19,2019-09,2025-12
BANDUSDT,2019-09-18,2026-01-20,2019-09-18,2026-01-19,2019-09,2025-12
BUSDUSDT,2019-09-20,2023-12-15,2019-09-20,2023-12-15,2019-09,2023-12
BEAMUSDT,2019-09-21,2023-01-26,2019-09-21,2023-01-26,2019-09,2023-01
XTZUSDT,2019-09-24,2026-01-20,2019-09-24,2026-01-19,2019-09,2025-12
RENUSDT,2019-09-25,2024-12-10,2019-09-25,2024-12-10,2019-09,2024-12
RVNUSDT,2019-09-25,2026-01-20,2019-09-25,2026-01-19,2019-09,2025-12
HCUSDT,2019-09-25,2020-11-10,2019-09-25,2020-11-10,2019-09,2020-11
HBARUSDT,2019-09-29,2026-01-20,2019-09-29,2026-01-19,2019-09,2025-12
NKNUSDT,2019-10-11,2026-01-20,2019-10-11,2026-01-19,2019-10,2025-12
STXUSDT,2019-10-25,2026-01-20,2019-10-25,2026-01-19,2019-10,2025-12
KAVAUSDT,2019-10-25,2026-01-20,2019-10-25,2026-01-19,2019-10,2025-12
ARPAUSDT,2019-11-06,2026-01-20,2019-11-06,2026-01-19,2019-11,2025-12
IOTXUSDT,2019-11-14,2026-01-20,2019-11-14,2026-01-19,2019-11,2025-12
RLCUSDT,2019-11-14,2026-01-20,2019-11-14,2026-01-19,2019-11,2025-12
MCOUSDT,2019-11-19,2020-10-23,2019-11-19,2020-10-23,2019-11,2020-10
CTXCUSDT,2019-11-22,2025-04-16,2019-11-22,2025-04-16,2019-11,2025-04
BCHUSDT,2019-11-28,2026-01-20,2019-11-28,2026-01-19,2019-11,2025-12
TROYUSDT,2019-12-05,2025-04-16,2019-12-05,2025-04-16,2019-12,2025-04
VITEUSDT,2019-12-13,2025-02-24,2019-12-13,2025-02-24,2019-12,2025-02
FTTUSDT,2019-12-20,2026-01-20,2019-12-20,2026-01-19,2019-12,2025-12
EURUSDT,2020-01-03,2026-01-20,2020-01-03,2026-01-19,2020-01,2025-12
OGNUSDT,2020-01-09,2026-01-20,2020-01-09,2026-01-19,2020-01,2025-12
DREPUSDT,2020-01-16,2024-04-03,2020-01-16,2024-04-03,2020-01,2024-04
BULLUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
BEARUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
ETHBULLUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
ETHBEARUSDT,2020-01-17,2020-03-31,2020-01-17,2020-03-31,2020-01,2020-03
TCTUSDT,2020-01-21,2022-10-24,2020-01-21,2022-10-24,2020-01,2022-10
WRXUSDT,2020-02-05,2024-12-25,2020-02-05,2024-12-25,2020-02,2024-12
